Date and time (UTC),Rocket,Rocket,Flight number,Launch site,Launch site,LSP,LSP,Year
14 March 11:52,,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,Due to non-separation of second stage Intelsat 603 was released from its perigee motor into a Low Earth orbit. Space Shuttle Endeavour on mission STS-49 attached a new perigee motor which boosted the satellite to geosynchronous orbit.,1990
14 March 15:27,Tsyklon-2,Tsyklon-2,,Baikonur Site 90/20,Baikonur Site 90/20,,,1990
14 March 15:27,,,,,,,,1990
14 March 15:27,,Kosmos 2060 (US-P),,Low Earth,Naval Reconnaissance,1 September 1991,Successful,1990
20 March 00:25,Kosmos-3M,Kosmos-3M,,Plesetsk Site 133/3,Plesetsk Site 133/3,,,1990
20 March 00:25,,,,,,,,1990
20 March 00:25,,Kosmos 2061 (Parus),,Low Earth,Navigation,In orbit,Successful,1990
22 March 07:20,Soyuz-U,Soyuz-U,,Plesetsk,Plesetsk,,,1990
22 March 07:20,,,,,,,,1990
22 March 07:20,,Kosmos 2062 (Zenit-8),,Low Earth,Reconnaissance,28 April,Successful,1990
26 March 02:45,Delta II 6925,Delta II 6925,,Cape Canaveral LC-17A,Cape Canaveral LC-17A,McDonnell Douglas,McDonnell Douglas,1990
26 March 02:45,,,,,,,,1990
26 March 02:45,,GPS II-7 (USA-54),US Air Force,Medium Earth,Navigation,In orbit,Spacecraft failure,1990
26 March 02:45,,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,Signal anomaly on 21 May 1996 made the satellite unusable in the GPS constellation.,1990
27 March 16:40,Molniya-M/2BL,Molniya-M/2BL,,Plesetsk,Plesetsk,,,1990
27 March 16:40,,,,,,,,1990
27 March 16:40,,Kosmos 2063 (Oko),,Molniya,Early warning,In orbit,Operational,1990
April[edit],April[edit],April[edit],April[edit],April[edit],April[edit],April[edit],April[edit],1990
3 April 12:02,Shavit,Shavit,,Palmachim,Palmachim,,,1990
3 April 12:02,,,,,,,,1990
3 April 12:02,,Ofeq-2,,Low Earth (retrograde),Reconnaissance,In orbit,Operational,1990
3 April,Soyuz-U,Soyuz-U,,Plesetsk Site 43,Plesetsk Site 43,,,1990
3 April,,,,,,,,1990
3 April,,Yantar-4K2,,Intended: Low Earth,Reconnaissance,3 April,Launch failure,1990
5 April 19:10,Pegasus,Pegasus,,Balls 8 Edwards,Balls 8 Edwards,Orbital Sciences,Orbital Sciences,1990
5 April 19:10,,,,,,,,1990
5 April 19:10,,Pegsat,NASA,Low Earth,Space Physics,14 November 1998,Successful,1990
5 April 19:10,,USA-55 (SECS),DoD,Low Earth,Communications,In orbit,Operational,1990
5 April 19:10,,Maiden flight of Pegasus,Maiden flight of Pegasus,Maiden flight of Pegasus,Maiden flight of Pegasus,Maiden flight of Pegasus,Maiden flight of Pegasus,1990
6 April 03:13,Kosmos-3M,Kosmos-3M,,Plesetsk Site 133/3,Plesetsk Site 133/3,,,1990
6 April 03:13,,,,,,,,1990
6 April 03:13,,Kosmos 2064 (Strela-1M),,Low Earth,Communications,In orbit,Operational,1990
6 April 03:13,,Kosmos 2065 (Strela-1M),,Low Earth,Communications,In orbit,Operational,1990
6 April 03:13,,Kosmos 2066 (Strela-1M),,Low Earth,Communications,In orbit,Operational,1990
6 April 03:13,,Kosmos 2067 (Strela-1M),,Low Earth,Communications,In orbit,Operational,1990
6 April 03:13,,Kosmos 2068 (Strela-1M),,Low Earth,Communications,In orbit,Operational,1990
6 April 03:13,,Kosmos 2069 (Strela-1M),,Low Earth,Communications,In orbit,Operational,1990
6 April 03:13,,Kosmos 2070 (Strela-1M),,Low Earth,Communications,In orbit,Operational,1990
6 April 03:13,,Kosmos 2071 (Strela-1M),,Low Earth,Communications,In orbit,Operational,1990
7 April 13:30,Long March 3,Long March 3,,Xichang LC-1,Xichang LC-1,,,1990
7 April 13:30,,,,,,,,1990
7 April 13:30,,AsiaSat 1,AsiaSat,Geosynchronous,Communications,In orbit,Operational,1990
7 April 13:30,,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,Originally launched as Westar 6 by Space Shuttle Challenger in February 1984 on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A. Westar 6 was refurbished and sold to AsiaSat who renamed it AsiaSat 1.,1990
11 April 15:00,Atlas-E/Altair-3A,Atlas-E/Altair-3A,,Vandenberg SLC-3W,Vandenberg SLC-3W,Lockheed,Lockheed,1990
11 April 15:00,,,,,,,,1990
11 April 15:00,,USA-56 (POGS),DoD,Low Earth,Technology demonstration,In orbit,Successful,1990
11 April 15:00,,USA-57 (TEX),DoD,Low Earth,Technology demonstration,In orbit,Successful,1990
11 April 15:00,,USA-58 (SCE),DoD,Low Earth,Technology demonstration,In orbit,Successful,1990
11 April 17:00,Soyuz-U,Soyuz-U,,Plesetsk Site 43/3,Plesetsk Site 43/3,,,1990
11 April 17:00,,,,,,,,1990
11 April 17:00,,/Foton 6,CNES,Low Earth,Microgravity research,27 April 06:15,Successful,1990
13 April 18:53,Soyuz-U,Soyuz-U,,Baikonur,Baikonur,,,1990
13 April 18:53,,,,,,,,1990
13 April 18:53,,Kosmos 2072 (Yantar-4KS1),,Low Earth,Reconnaissance,22 November,Successful,1990
13 April 22:28,Delta II 6925-8,Delta II 6925-8,,Cape Canaveral LC-17B,Cape Canaveral LC-17B,McDonnell Douglas,McDonnell Douglas,1990
13 April 22:28,,,,,,,,1990
13 April 22:28,,Palapa B2R,Telkom Indonesia,Geosynchronous,Communications,In orbit,Operational,1990
13 April 22:28,,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,Originally launched in February 1984 as Palapa B2 by Space Shuttle Challenger on mission STS-41-B. Was stranded in an incorrect orbit and was recovered in November 1984 by Space Shuttle Discovery on mission STS-51-A.,1990
17 April 08:00,Soyuz-U,Soyuz-U,,Plesetsk,Plesetsk,,,1990
17 April 08:00,,,,,,,,1990
17 April 08:00,,Kosmos 2073 (Zenit-8),,Low Earth,Reconnaissance,28 April,Successful,1990
20 April 18:41,Kosmos-3M,Kosmos-3M,,Plesetsk Site 133/3,Plesetsk Site 133/3,,,1990
20 April 18:41,,,,,,,,1990
20 April 18:41,,Kosmos 2074 (Parus),,Low Earth,Navigation,In orbit,Operational,1990
24 April 12:33,Space Shuttle Discovery,Space Shuttle Discovery,,Kennedy LC-39B,Kennedy LC-39B,,,1990
24 April 12:33,,,,,,,,1990
24 April 12:33,,STS-31,NASA,Low Earth,HST deployment,29 April 13:49,Successful,1990
24 April 12:33,,/Hubble Space Telescope,NASA/ESA,Low Earth,Space Telescope,In orbit,Operational,1990
24 April 12:33,,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,Crewed orbital flight with 5 astronauts,1990
25 April 13:00,Kosmos-3M,Kosmos-3M,,Plesetsk Site 132/2,Plesetsk Site 132/2,,,1990
25 April 13:00,,,,,,,,1990
25 April 13:00,,Kosmos 2075 (Taifun-2),,Low Earth,Target,20 February 1992,Successful,1990
26 April 01:37,Molniya-M/ML,Molniya-M/ML,,Plesetsk,Plesetsk,,,1990
26 April 01:37,,,,,,,,1990
26 April 01:37,,Molniya 1-77,,Molniya,Communications,25 February 2005,Successful,1990
28 April 11:37,Molniya-M/2BL,Molniya-M/2BL,,Plesetsk,Plesetsk,,,1990
28 April 11:37,,,,,,,,1990
28 April 11:37,,Kosmos 2076 (Oko),,Molniya,Early warning,In orbit,Operational,1990
May[edit],May[edit],May[edit],May[edit],May[edit],May[edit],May[edit],May[edit],1990
5 May 20:44,Soyuz-U2,Soyuz-U2,,Baikonur Site 1/5,Baikonur Site 1/5,,,1990
5 May 20:44,,,,,,,,1990
